year.range,type,size.ft3,cons.year.kwh.fridg,id.year,id.capacity,id.freezer.loc,id.number.doors,id.appl
<1980,Upright,6.0-10.4,1996,1,2,1,1,fridg_1211
1980-1989,Upright,6.0-10.4,1697,2,2,1,1,fridg_2211
1990-1992,Upright,6.0-10.4,1219,3,2,1,1,fridg_3211
1993-2000,Upright,6.0-10.4,850,4,2,1,1,fridg_4211
2001-2010,Upright,6.0-10.4,647,5,2,1,1,fridg_5211
2011-2015,Upright,6.0-10.4,407,6,2,1,1,fridg_6211
2016-2017,Upright,6.0-10.4,362,7,2,1,1,fridg_7211
<1980,Upright,10.5-16.4,2200,1,3,1,1,fridg_1311
1980-1989,Upright,10.5-16.4,1870,2,3,1,1,fridg_2311
1990-1992,Upright,10.5-16.4,1343,3,3,1,1,fridg_3311
1993-2000,Upright,10.5-16.4,937,4,3,1,1,fridg_4311
2001-2010,Upright,10.5-16.4,713,5,3,1,1,fridg_5311
2011-2015,Upright,10.5-16.4,449,6,3,1,1,fridg_6311
2016-2017,Upright,10.5-16.4,399,7,3,1,1,fridg_7311
<1980,Upright,16.5-18.9,2426,1,4,1,1,fridg_1411
1980-1989,Upright,16.5-18.9,2062,2,4,1,1,fridg_2411
1990-1992,Upright,16.5-18.9,1481,3,4,1,1,fridg_3411
1993-2000,Upright,16.5-18.9,1058,4,4,1,1,fridg_4411
2001-2010,Upright,16.5-18.9,805,5,4,1,1,fridg_5411
2011-2015,Upright,16.5-18.9,507,6,4,1,1,fridg_6411
2016-2017,Upright,16.5-18.9,451,7,4,1,1,fridg_7411
<1980,Upright,19.0-21.4,2577,1,5,1,1,fridg_1511
1980-1989,Upright,19.0-21.4,2190,2,5,1,1,fridg_2511
1990-1992,Upright,19.0-21.4,1573,3,5,1,1,fridg_3511
1993-2000,Upright,19.0-21.4,1138,4,5,1,1,fridg_4511
2001-2010,Upright,19.0-21.4,866,5,5,1,1,fridg_5511
2011-2015,Upright,19.0-21.4,545,6,5,1,1,fridg_6511
2016-2017,Upright,19.0-21.4,485,7,5,1,1,fridg_7511
<1980,Upright,21.5-24.4,2682,1,6,1,1,fridg_1611
1980-1989,Upright,21.5-24.4,2280,2,6,1,1,fridg_2611
1990-1992,Upright,21.5-24.4,1637,3,6,1,1,fridg_3611
1993-2000,Upright,21.5-24.4,1194,4,6,1,1,fridg_4611
2001-2010,Upright,21.5-24.4,909,5,6,1,1,fridg_5611
2011-2015,Upright,21.5-24.4,572,6,6,1,1,fridg_6611
2016-2017,Upright,21.5-24.4,516,7,6,1,1,fridg_7611
<1980,Upright,>24.5,2984,1,7,1,1,fridg_1711
1980-1989,Upright,>24.5,2536,2,7,1,1,fridg_2711
1990-1992,Upright,>24.5,1821,3,7,1,1,fridg_3711
1993-2000,Upright,>24.5,1355,4,7,1,1,fridg_4711
2001-2010,Upright,>24.5,1031,5,7,1,1,fridg_5711
2011-2015,Upright,>24.5,648,6,7,1,1,fridg_6711
2016-2017,Upright,>24.5,592,7,7,1,1,fridg_7711
<1980,No freezer,<6,1479,1,1,4,1,fridg_1141
1980-1989,No freezer,<6,1258,2,1,4,1,fridg_2141
1990-1992,No freezer,<6,903,3,1,4,1,fridg_3141
1993-2000,No freezer,<6,630,4,1,4,1,fridg_4141
2001-2010,No freezer,<6,479,5,1,4,1,fridg_5141
2011-2015,No freezer,<6,301,6,1,4,1,fridg_6141
