folio,foliohog,huespedes,huesp_come,trabaja_do,cuid_perso,lavandero,chofer,cocinero,jardinero,tot_integ,tot_hom,tot_muj
16685,1,0, ,1,2,2,2,2,2,1,1,0
16686,1,0, , , , , , , ,2,1,1
16687,1,0, , , , , , , ,3,2,1
16688,1,0, , , , , , , ,3,2,1
16689,1,0, , , , , , , ,5,2,3
16690,1,0, , , , , , , ,2,1,1
16691,1,0, , , , , , , ,2,1,1
16692,1,0, , , , , , , ,4,1,3
16693,1,0, , , , , , , ,5,4,1
16694,1,0, , , , , , , ,5,2,3
16695,1,0, , , , , , , ,3,2,1
16696,1,0, , , , , , , ,1,1,0
16697,1,0, , , , , , , ,1,1,0
16698,1,0, , , , , , , ,4,2,2
16699,1,0, , , , , , , ,4,2,2
16700,1,0, , , , , , , ,2,1,1
16701,1,0, , , , , , , ,2,1,1
16702,1,0, , , , , , , ,1,0,1
16703,1,0, , , , , , , ,2,1,1
16704,1,0, , , , , , , ,4,3,1
16705,1,0, , , , , , , ,3,2,1
16706,1,0, , , , , , , ,3,1,2
16707,1,0, , , , , , , ,5,3,2
16708,1,0, , , , , , , ,2,1,1
16709,1,0, , , , , , , ,4,2,2
16710,1,0, , , , , , , ,4,2,2
16711,1,0, , , , , , , ,2,1,1
16712,1,0, , , , , , , ,6,2,4
16713,1,0, , , , , , , ,6,4,2
16714,1,0, , , , , , , ,3,2,1
16715,1,0, , , , , , , ,3,2,1
16716,1,0, , , , , , , ,3,1,2
16717,1,0, , , , , , , ,2,1,1
16718,1,0, , , , , , , ,1,0,1
16719,1,0, , , , , , , ,5,2,3
16720,1,0, , , , , , , ,3,1,2
16721,1,0, ,1,2,2,2,2,2,2,1,1
16722,1,0, , , , , , , ,3,1,2
16723,1,0, , , , , , , ,2,1,1
16724,1,0, , , , , , , ,5,3,2
16725,1,0, , , , , , , ,4,2,2
16726,1,0, , , , , , , ,3,2,1
16727,1,0, , , , , , , ,2,1,1
16728,1,0, , , , , , , ,2,1,1
16729,1,0, , , , , , , ,3,2,1
16730,1,0, , , , , , , ,2,1,1
16731,1,0, , , , , , , ,1,0,1
16732,1,0, , , , , , , ,4,2,2
16733,1,0, , , , , , , ,4,1,3
16734,1,0, , , , , , , ,4,3,1
16735,1,0, , , , , , , ,2,1,1
16736,1,0, , , , , , , ,2,1,1
16737,1,0, , , , , , , ,7,4,3
16738,1,0, , , , , , , ,9,4,5
16739,1,0, , , , , , , ,7,4,3
16740,1,0, , , , , , , ,4,4,0
16741,1,0, , , , , , , ,4,2,2
16742,1,0, , , , , , , ,1,1,0
16743,1,0, , , , , , , ,2,2,0
16744,1,0, , , , , , , ,3,2,1
16745,1,0, , , , , , , ,3,2,1
16746,1,0, , , , , , , ,4,2,2
16747,1,0, , , , , , , ,4,2,2
16748,1,0, , , , , , , ,2,1,1
